m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,selector,u_method,generation_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,status
4097,4150,false,0,6,2,1025,85,randomized_range,intersection_inverse,249.584391000,5.730150000,0.150855000,0.398661000,0.696639000,6.976305000,1.761570334,0.120530151,14.615184021,1.000000000,28900,ok
4097,4150,false,0,6,2,1025,85,randomized_range,svd_pseudoinverse,249.584391000,5.730150000,0.150855000,14.517603000,0.752361000,21.150969000,0.315225601,0.120530151,2.615325701,1.000000000,28900,ok
4097,4150,false,0,7,2,1025,51,matrix_norms,intersection_inverse,249.584391000,1.747287000,0.112043000,0.145826000,0.710980000,2.716136000,6.898815632,0.251202792,27.463132790,1.000000000,10404,ok
4097,4150,false,0,7,2,1025,51,matrix_norms,svd_pseudoinverse,249.584391000,1.747287000,0.112043000,7.921624000,0.707366000,10.488320000,0.551713347,0.251202792,2.196286686,1.000000000,10404,ok
4097,4150,false,0,7,2,1025,51,randomized_range,intersection_inverse,249.584391000,4.656916000,0.116541000,0.132202000,0.686295000,5.591954000,5.645418167,0.251202792,22.473548657,1.000000000,10404,ok
4097,4150,false,0,7,2,1025,51,randomized_range,svd_pseudoinverse,249.584391000,4.656916000,0.116541000,7.765363000,0.723092000,13.261912000,0.553431571,0.251202792,2.203126670,1.000000000,10404,ok
4097,4150,false,0,8,2,1025,170,matrix_norms,intersection_inverse,249.584391000,1.741129000,0.146014000,2.482434000,0.810962000,5.180539000,2.267045736,0.029823966,76.014226668,1.000000000,115600,ok
4097,4150,false,0,8,2,1025,170,matrix_norms,svd_pseudoinverse,249.584391000,1.741129000,0.146014000,33.339786000,0.908552000,36.135481000,0.095945142,0.029823966,3.217048369,1.000000000,115600,ok
4097,4150,false,0,8,2,1025,170,randomized_range,intersection_inverse,249.584391000,9.029669000,0.163908000,2.477752000,0.847594000,12.518923000,2.267045736,0.029823966,76.014226668,1.000000000,115600,ok
4097,4150,false,0,8,2,1025,170,randomized_range,svd_pseudoinverse,249.584391000,9.029669000,0.163908000,30.975926000,0.877999000,41.047502000,0.095945157,0.029823966,3.217048868,1.000000000,115600,ok
4097,4150,false,0,9,2,1025,102,matrix_norms,intersection_inverse,249.584391000,1.722511000,0.137501000,0.607661000,0.706309000,3.173982000,2.400238991,0.087755352,27.351482605,1.000000000,41616,ok
4097,4150,false,0,9,2,1025,102,matrix_norms,svd_pseudoinverse,249.584391000,1.722511000,0.137501000,17.833326000,0.781630000,20.474968000,0.238570884,0.087755352,2.718590693,1.000000000,41616,ok
4097,4150,false,0,9,2,1025,102,randomized_range,intersection_inverse,249.584391000,6.291754000,0.151972000,0.638291000,0.733017000,7.815034000,2.259313345,0.087755352,25.745590289,1.000000000,41616,ok
4097,4150,false,0,9,2,1025,102,randomized_range,svd_pseudoinverse,249.584391000,6.291754000,0.151972000,17.586006000,0.795924000,24.825656000,0.239312321,0.087755352,2.727039603,1.000000000,41616,ok
4097,4150,false,0,10,2,1025,341,matrix_norms,intersection_inverse,249.584391000,1.719823000,0.154443000,19.628128000,1.050092000,22.552486000,0.214922875,0.003861315,55.660534714,1.000000000,465124,ok
4097,4150,false,0,10,2,1025,341,matrix_norms,svd_pseudoinverse,249.584391000,1.719823000,0.154443000,91.141016000,1.373241000,94.388523000,0.014647220,0.003861315,3.793324053,1.000000000,465124,ok
4097,4150,false,0,10,2,1025,341,randomized_range,intersection_inverse,249.584391000,16.037218000,0.255770000,20.089692000,1.075667000,37.458347000,0.214922875,0.003861315,55.660534714,1.000000000,465124,ok
4097,4150,false,0,10,2,1025,341,randomized_range,svd_pseudoinverse,249.584391000,16.037218000,0.255770000,93.195642000,1.334809000,110.823439000,0.014647220,0.003861315,3.793324053,1.000000000,465124,ok
4097,4150,false,0,11,2,1025,204,matrix_norms,intersection_inverse,249.584391000,1.879093000,0.160732000,4.090060000,0.900524000,7.030409000,4.997112751,0.018753905,266.457188045,0.769354362,166464,ok
4097,4150,false,0,11,2,1025,204,matrix_norms,svd_pseudoinverse,249.584391000,1.879093000,0.160732000,46.883508000,1.153769000,50.077102000,0.061894689,0.018753905,3.300362738,1.000000000,166464,ok
4097,4150,false,0,11,2,1025,204,randomized_range,intersection_inverse,249.584391000,10.561340000,0.157174000,4.062120000,0.910365000,15.690999000,4.997112751,0.018753905,266.457188045,0.769354362,166464,ok
4097,4150,false,0,11,2,1025,204,randomized_range,svd_pseudoinverse,249.584391000,10.561340000,0.157174000,47.063790000,1.184927000,58.967231000,0.061894685,0.018753905,3.300362539,1.000000000,166464,ok
4097,4150,false,0,12,3,513,85,matrix_norms,intersection_inverse,249.584391000,1.794092000,0.109590000,0.405013000,0.721491000,3.030186000,0.751166284,0.021238355,35.368383535,1.000000000,28900,ok
4097,4150,false,0,12,3,513,85,matrix_norms,svd_pseudoinverse,249.584391000,1.794092000,0.109590000,15.668436000,0.802247000,18.374365000,0.066623040,0.021238355,3.136920899,1.000000000,28900,ok
