m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,k_over_true_rank,selector,u_method,generation_ms,generation_q_ms,generation_scale_ms,generation_multiply_ms,generation_copy_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,serialized_solution_bytes,status
8193,8193,true,0,0,0,8193,682,0.083241792,matrix_norms,intersection_inverse,788.050475000,750.628423000,0.898894000,33.495680000,2.880680000,5.314195000,1.162061000,155.163703000,13.179650000,174.819609000,0.513518095,0.004921398,104.343944934,1.000000000,1860496,2315506,ok
8193,8193,true,0,0,0,8193,682,0.083241792,matrix_norms,svd_pseudoinverse,788.050475000,750.628423000,0.898894000,33.495680000,2.880680000,5.314195000,1.162061000,323.398936000,12.845891000,342.721083000,0.013812011,0.004921398,2.806521796,1.000000000,1860496,2297006,ok
8193,8193,true,0,0,0,8193,682,0.083241792,block_krylov_maxvol,intersection_inverse,788.050475000,750.628423000,0.898894000,33.495680000,2.880680000,2342.073248000,1.234697000,161.470038000,13.107946000,2517.885929000,0.274556607,0.004921398,55.788334941,1.000000000,1860496,2312950,ok
8193,8193,true,0,0,0,8193,682,0.083241792,block_krylov_maxvol,svd_pseudoinverse,788.050475000,750.628423000,0.898894000,33.495680000,2.880680000,2342.073248000,1.234697000,321.693857000,13.154392000,2678.156194000,0.013508667,0.004921398,2.744884054,1.000000000,1860496,2297142,ok
8193,8193,true,0,1,0,8193,409,0.049920664,matrix_norms,intersection_inverse,788.050475000,750.628423000,0.898894000,33.495680000,2.880680000,5.621735000,1.057473000,36.496836000,12.141023000,55.317067000,0.463350475,0.010603420,43.698212130,1.000000000,669124,834298,ok
8193,8193,true,0,1,0,8193,409,0.049920664,matrix_norms,svd_pseudoinverse,788.050475000,750.628423000,0.898894000,33.495680000,2.880680000,5.621735000,1.057473000,150.177143000,11.850264000,168.706615000,0.029776258,0.010603420,2.808175078,1.000000000,669124,827078,ok
8193,8193,true,0,1,0,8193,409,0.049920664,block_krylov_maxvol,intersection_inverse,788.050475000,750.628423000,0.898894000,33.495680000,2.880680000,1075.131547000,1.123617000,37.649850000,12.002862000,1125.907876000,1.137229919,0.010603420,107.251242761,1.000000000,669124,836870,ok
8193,8193,true,0,1,0,8193,409,0.049920664,block_krylov_maxvol,svd_pseudoinverse,788.050475000,750.628423000,0.898894000,33.495680000,2.880680000,1075.131547000,1.123617000,149.688452000,11.899587000,1237.843203000,0.028858166,0.010603420,2.721590537,1.000000000,669124,827422,ok
8193,8193,true,0,2,1,4097,341,0.083231633,matrix_norms,intersection_inverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,6.187591000,1.029620000,22.809119000,10.318598000,40.344928000,1.366214156,0.003484636,392.067959171,0.872297753,465124,584826,ok
8193,8193,true,0,2,1,4097,341,0.083231633,matrix_norms,svd_pseudoinverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,6.187591000,1.029620000,121.497387000,9.989246000,138.703844000,0.009844111,0.003484636,2.825004119,1.000000000,465124,575906,ok
8193,8193,true,0,2,1,4097,341,0.083231633,block_krylov_maxvol,intersection_inverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,782.296087000,0.956763000,20.922954000,9.961134000,814.136938000,0.128845379,0.003484636,36.975275414,1.000000000,465124,579174,ok
8193,8193,true,0,2,1,4097,341,0.083231633,block_krylov_maxvol,svd_pseudoinverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,782.296087000,0.956763000,95.134381000,10.320871000,888.708102000,0.009421837,0.003484636,2.703822256,1.000000000,465124,576078,ok
8193,8193,true,0,3,1,4097,204,0.049792531,matrix_norms,intersection_inverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,5.244265000,0.890608000,5.221242000,9.330937000,20.687052000,0.365419060,0.007541013,48.457553360,1.000000000,166464,208514,ok
8193,8193,true,0,3,1,4097,204,0.049792531,matrix_norms,svd_pseudoinverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,5.244265000,0.890608000,48.507321000,9.386191000,64.028385000,0.021134306,0.007541013,2.802581640,1.000000000,166464,207534,ok
8193,8193,true,0,3,1,4097,204,0.049792531,block_krylov_maxvol,intersection_inverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,336.365762000,0.931586000,5.466182000,9.456232000,352.219762000,0.263010740,0.007541013,34.877373342,1.000000000,166464,208422,ok
8193,8193,true,0,3,1,4097,204,0.049792531,block_krylov_maxvol,svd_pseudoinverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,336.365762000,0.931586000,46.948424000,9.556300000,393.802072000,0.020074604,0.007541013,2.662056540,1.000000000,166464,207518,ok
8193,8193,true,0,4,1,4097,682,0.166463266,matrix_norms,intersection_inverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,5.183559000,1.126142000,156.364913000,12.261489000,174.936103000,0.175444707,0.001228348,142.829752129,1.000000000,1860496,2320522,ok
8193,8193,true,0,4,1,4097,682,0.166463266,matrix_norms,svd_pseudoinverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,5.183559000,1.126142000,308.443625000,12.285595000,327.038921000,0.003729102,0.001228348,3.035866124,1.000000000,1860496,2297438,ok
8193,8193,true,0,4,1,4097,682,0.166463266,block_krylov_maxvol,intersection_inverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,2313.379909000,1.284199000,156.841128000,12.143065000,2483.648301000,0.097601831,0.001228348,79.457770712,1.000000000,1860496,2315770,ok
8193,8193,true,0,4,1,4097,682,0.166463266,block_krylov_maxvol,svd_pseudoinverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,2313.379909000,1.284199000,313.025637000,12.948915000,2640.638660000,0.003429895,0.001228348,2.792281579,1.000000000,1860496,2297566,ok
8193,8193,true,0,5,1,4097,409,0.099829143,matrix_norms,intersection_inverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,5.310128000,1.014402000,36.699817000,11.369488000,54.393835000,0.831306756,0.002651433,313.531174722,1.000000000,669124,840390,ok
8193,8193,true,0,5,1,4097,409,0.099829143,matrix_norms,svd_pseudoinverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,5.310128000,1.014402000,146.027357000,11.479335000,163.831222000,0.007522147,0.002651433,2.837012295,1.000000000,669124,827366,ok
8193,8193,true,0,5,1,4097,409,0.099829143,block_krylov_maxvol,intersection_inverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,1075.068669000,1.125061000,37.374870000,11.273598000,1124.842198000,0.273606658,0.002651433,103.192012235,1.000000000,669124,837254,ok
8193,8193,true,0,5,1,4097,409,0.099829143,block_krylov_maxvol,svd_pseudoinverse,360.920654000,342.114980000,0.615260000,13.350212000,4.687965000,1075.068669000,1.125061000,155.669157000,11.200940000,1243.063827000,0.007213803,0.002651433,2.720718881,1.000000000,669124,827578,ok
8193,8193,true,0,6,2,2049,170,0.082967301,matrix_norms,intersection_inverse,196.949686000,182.391151000,0.449747000,7.048774000,6.884765000,4.898933000,0.937817000,3.454691000,9.159913000,18.451354000,0.155023426,0.002481582,62.469605318,1.000000000,115600,145826,ok
