m,n,poly,seed,sub_idx,true_rank_stratum,target_ratio_stratum,sampled_true_rank_ratio,true_rank,sampled_target_rank_ratio,target_k,k_over_true_rank,selector,u_method,generation_gaussian_u_ms,generation_qr_u_ms,generation_gaussian_v_ms,generation_qr_v_ms,generation_basis_extract_scale_ms,generation_matrix_multiply_ms,generation_sub_instance_total_ms,generation_qr_plus_matrix_multiply_ms,generation_wall_ms,selection_ms,extraction_ms,u_ms,verification_ms,solver_total_ms,cur_fnorm,optimal_svd_fnorm,raw_error_ratio,score,u_bytes,serialized_solution_bytes,status
512,640,true,0,3,3,5,0.146216327,75,0.739562110,55,0.733333333,block_krylov_maxvol,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.065463000,0.063550000,0.256264000,9.732286000,16.229477000,26.364619000,0.106773000,1.395511000,0.441843000,28.308746000,0.002256698,0.000014292,157.900662946,0.354653356,12100,15418,ok
512,640,true,0,3,3,5,0.146216327,75,0.739562110,55,0.733333333,block_krylov_maxvol,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.065463000,0.063550000,0.256264000,9.732286000,16.229477000,26.364619000,0.106773000,37.533733000,0.462071000,64.467196000,0.000271547,0.000014292,19.000047855,1.000000000,12100,15454,ok
512,640,true,0,4,4,2,0.163769945,84,0.361614008,30,0.357142857,matrix_norms,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.066806000,0.063630000,0.254479000,9.732286000,16.229477000,0.534898000,0.110247000,1.093451000,0.441212000,2.179808000,0.004401591,0.000055744,78.960238869,0.392602662,3600,4758,ok
512,640,true,0,4,4,2,0.163769945,84,0.361614008,30,0.357142857,matrix_norms,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.066806000,0.063630000,0.254479000,9.732286000,16.229477000,0.534898000,0.110247000,22.651036000,0.424329000,23.720510000,0.000561274,0.000055744,10.068699249,1.000000000,3600,4766,ok
512,640,true,0,4,4,2,0.163769945,84,0.361614008,30,0.357142857,block_krylov_maxvol,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.066806000,0.063630000,0.254479000,9.732286000,16.229477000,15.993461000,0.125346000,1.116385000,0.424252000,17.659444000,0.000782337,0.000055744,14.034365287,1.000000000,3600,4778,ok
512,640,true,0,4,4,2,0.163769945,84,0.361614008,30,0.357142857,block_krylov_maxvol,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.066806000,0.063630000,0.254479000,9.732286000,16.229477000,15.993461000,0.125346000,22.555336000,0.424651000,39.098794000,0.000344523,0.000055744,6.180406534,1.000000000,3600,4770,ok
512,640,true,0,5,5,3,0.214140816,110,0.544466149,60,0.545454545,matrix_norms,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.070884000,0.081283000,0.300096000,9.732286000,16.229477000,0.524971000,0.118884000,1.428865000,0.465117000,2.537837000,0.010300035,0.000031589,326.066603340,0.187078343,14400,18350,ok
512,640,true,0,5,5,3,0.214140816,110,0.544466149,60,0.545454545,matrix_norms,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.070884000,0.081283000,0.300096000,9.732286000,16.229477000,0.524971000,0.118884000,40.946497000,0.460328000,42.050680000,0.000548079,0.000031589,17.350443761,1.000000000,14400,18274,ok
512,640,true,0,5,5,3,0.214140816,110,0.544466149,60,0.545454545,block_krylov_maxvol,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.070884000,0.081283000,0.300096000,9.732286000,16.229477000,23.691117000,0.109355000,1.393167000,0.393524000,25.587163000,0.000734394,0.000031589,23.248603025,1.000000000,14400,18326,ok
512,640,true,0,5,5,3,0.214140816,110,0.544466149,60,0.545454545,block_krylov_maxvol,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.070884000,0.081283000,0.300096000,9.732286000,16.229477000,23.691117000,0.109355000,40.042440000,0.429080000,64.271992000,0.000327214,0.000031589,10.358570861,1.000000000,14400,18330,ok
