m,n,poly,seed,sub_idx,true_rank_stratum,target_ratio_stratum,sampled_true_rank_ratio,true_rank,sampled_target_rank_ratio,target_k,k_over_true_rank,selector,u_method,generation_gaussian_u_ms,generation_qr_u_ms,generation_gaussian_v_ms,generation_qr_v_ms,generation_basis_extract_scale_ms,generation_matrix_multiply_ms,generation_sub_instance_total_ms,generation_qr_plus_matrix_multiply_ms,generation_wall_ms,selection_ms,extraction_ms,u_ms,verification_ms,solver_total_ms,cur_fnorm,optimal_svd_fnorm,raw_error_ratio,score,u_bytes,serialized_solution_bytes,status
6000,6000,true,0,0,0,1,0.052377030,314,0.296618236,93,0.296178344,matrix_norms,qr_least_squares,115.721735000,60.005242000,117.024435000,60.404054000,0.096763000,5.730995000,6.637951000,133.308010000,377.658907000,3.599925000,0.093626000,2.810118000,5.513054000,12.016723000,0.002974951,0.000142676,20.851110799,1.000000000,34596,43634,ok
6000,6000,true,0,0,0,1,0.052377030,314,0.296618236,93,0.296178344,matrix_norms,adaptive_svd_pseudoinverse,115.721735000,60.005242000,117.024435000,60.404054000,0.096763000,5.730995000,6.637951000,133.308010000,377.658907000,3.599925000,0.093626000,156.648578000,5.429646000,165.771775000,0.001284745,0.000142676,9.004636491,1.000000000,34596,43702,ok
6000,6000,true,0,0,0,1,0.052377030,314,0.296618236,93,0.296178344,block_krylov_maxvol,qr_least_squares,115.721735000,60.005242000,117.024435000,60.404054000,0.096763000,5.730995000,6.637951000,133.308010000,377.658907000,109.583627000,0.193053000,2.853899000,5.482546000,118.113125000,0.000541605,0.000142676,3.796048248,1.000000000,34596,43670,ok
6000,6000,true,0,0,0,1,0.052377030,314,0.296618236,93,0.296178344,block_krylov_maxvol,adaptive_svd_pseudoinverse,115.721735000,60.005242000,117.024435000,60.404054000,0.096763000,5.730995000,6.637951000,133.308010000,377.658907000,109.583627000,0.193053000,149.520064000,5.434087000,264.730831000,0.000541605,0.000142676,3.796048248,1.000000000,34596,43670,ok
6000,6000,true,0,1,1,4,0.067582811,405,0.581497428,236,0.582716049,matrix_norms,qr_least_squares,115.721735000,60.005242000,117.024435000,60.404054000,0.191320000,0.912708000,1.873025000,133.308010000,377.658907000,3.575660000,0.210516000,6.123373000,5.839168000,15.748717000,0.008507468,0.000053020,160.457959528,1.000000000,222784,277134,ok
6000,6000,true,0,1,1,4,0.067582811,405,0.581497428,236,0.582716049,matrix_norms,adaptive_svd_pseudoinverse,115.721735000,60.005242000,117.024435000,60.404054000,0.191320000,0.912708000,1.873025000,133.308010000,377.658907000,3.575660000,0.210516000,409.248818000,5.881167000,418.916161000,0.000846791,0.000053020,15.971178271,1.000000000,222784,276802,ok
6000,6000,true,0,1,1,4,0.067582811,405,0.581497428,236,0.582716049,block_krylov_maxvol,qr_least_squares,115.721735000,60.005242000,117.024435000,60.404054000,0.191320000,0.912708000,1.873025000,133.308010000,377.658907000,270.167447000,0.256684000,6.486254000,5.834950000,282.745335000,0.001889371,0.000053020,35.635114688,1.000000000,222784,277134,ok
6000,6000,true,0,1,1,4,0.067582811,405,0.581497428,236,0.582716049,block_krylov_maxvol,adaptive_svd_pseudoinverse,115.721735000,60.005242000,117.024435000,60.404054000,0.191320000,0.912708000,1.873025000,133.308010000,377.658907000,270.167447000,0.256684000,372.334736000,5.831253000,648.590120000,0.000456871,0.000053020,8.616969228,1.000000000,222784,276778,ok
6000,6000,true,0,2,2,0,0.117096042,703,0.213556692,150,0.213371266,matrix_norms,qr_least_squares,115.721735000,60.005242000,117.024435000,60.404054000,0.247005000,1.223943000,2.287564000,133.308010000,377.658907000,3.709450000,0.194105000,4.697490000,5.682873000,14.283918000,0.001927211,0.000352899,5.461079950,1.000000000,90000,112562,ok
6000,6000,true,0,2,2,0,0.117096042,703,0.213556692,150,0.213371266,matrix_norms,adaptive_svd_pseudoinverse,115.721735000,60.005242000,117.024435000,60.404054000,0.247005000,1.223943000,2.287564000,133.308010000,377.658907000,3.709450000,0.194105000,239.755451000,5.578356000,249.237362000,0.001442929,0.000352899,4.088784947,1.000000000,90000,112326,ok
6000,6000,true,0,2,2,0,0.117096042,703,0.213556692,150,0.213371266,block_krylov_maxvol,qr_least_squares,115.721735000,60.005242000,117.024435000,60.404054000,0.247005000,1.223943000,2.287564000,133.308010000,377.658907000,168.475964000,0.233480000,4.478939000,5.604205000,178.792588000,0.000937965,0.000352899,2.657884971,1.000000000,90000,112674,ok
6000,6000,true,0,2,2,0,0.117096042,703,0.213556692,150,0.213371266,block_krylov_maxvol,adaptive_svd_pseudoinverse,115.721735000,60.005242000,117.024435000,60.404054000,0.247005000,1.223943000,2.287564000,133.308010000,377.658907000,168.475964000,0.233480000,242.327802000,5.575411000,416.612657000,0.000935148,0.000352899,2.649900656,1.000000000,90000,112326,ok
6000,6000,true,0,3,3,5,0.146216327,877,0.739562110,649,0.740022805,matrix_norms,qr_least_squares,115.721735000,60.005242000,117.024435000,60.404054000,0.236836000,1.513979000,2.543306000,133.308010000,377.658907000,3.667292000,0.327156000,17.209883000,6.846483000,28.050814000,0.019323282,0.000046854,412.413222024,1.000000000,1684804,2091934,ok
6000,6000,true,0,3,3,5,0.146216327,877,0.739562110,649,0.740022805,matrix_norms,adaptive_svd_pseudoinverse,115.721735000,60.005242000,117.024435000,60.404054000,0.236836000,1.513979000,2.543306000,133.308010000,377.658907000,3.667292000,0.327156000,1503.995244000,6.801018000,1514.790710000,0.000797333,0.000046854,17.017322068,1.000000000,1684804,2085914,ok
6000,6000,true,0,3,3,5,0.146216327,877,0.739562110,649,0.740022805,block_krylov_maxvol,qr_least_squares,115.721735000,60.005242000,117.024435000,60.404054000,0.236836000,1.513979000,2.543306000,133.308010000,377.658907000,1162.522789000,0.380396000,16.315551000,6.877622000,1186.096358000,0.005296987,0.000046854,113.052621215,1.000000000,1684804,2091846,ok
