m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,k_over_true_rank,selector,u_method,generation_ms,generation_q_ms,generation_scale_ms,generation_multiply_ms,generation_copy_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,serialized_solution_bytes,status
1025,1100,true,0,4,1,513,85,0.165692008,block_krylov_maxvol,svd_pseudoinverse,9.744229000,9.271537000,0.076664000,0.187464000,0.091613000,48.817465000,0.088928000,10.829125000,0.584451000,60.319969000,0.001146553,0.000441112,2.599232026,1.000000000,28900,36478,ok
1025,1100,true,0,5,1,513,51,0.099415205,matrix_norms,intersection_inverse,9.744229000,9.271537000,0.076664000,0.187464000,0.091613000,0.685252000,0.094307000,0.242408000,0.437767000,1.459734000,0.019157525,0.000956309,20.032771758,1.000000000,10404,13398,ok
1025,1100,true,0,5,1,513,51,0.099415205,matrix_norms,svd_pseudoinverse,9.744229000,9.271537000,0.076664000,0.187464000,0.091613000,0.685252000,0.094307000,6.537210000,0.623246000,7.940015000,0.002750046,0.000956309,2.875686975,1.000000000,10404,13334,ok
1025,1100,true,0,5,1,513,51,0.099415205,block_krylov_maxvol,intersection_inverse,9.744229000,9.271537000,0.076664000,0.187464000,0.091613000,31.919434000,0.087605000,0.217360000,0.419100000,32.643499000,0.073010273,0.000956309,76.345881265,0.681110744,10404,13490,ok
1025,1100,true,0,5,1,513,51,0.099415205,block_krylov_maxvol,svd_pseudoinverse,9.744229000,9.271537000,0.076664000,0.187464000,0.091613000,31.919434000,0.087605000,6.770872000,0.419321000,39.197232000,0.002279939,0.000956309,2.384102323,1.000000000,10404,13342,ok
1025,1100,true,0,6,2,257,21,0.081712062,matrix_norms,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.670995000,0.092064000,0.137419000,0.521874000,1.422352000,0.012904939,0.000927654,13.911366394,1.000000000,1764,2474,ok
1025,1100,true,0,6,2,257,21,0.081712062,matrix_norms,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.670995000,0.092064000,3.213691000,0.500693000,4.477443000,0.002839301,0.000927654,3.060731707,1.000000000,1764,2454,ok
1025,1100,true,0,6,2,257,21,0.081712062,block_krylov_maxvol,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,17.275754000,0.086282000,0.122850000,0.384565000,17.869451000,0.016206728,0.000927654,17.470654541,1.000000000,1764,2482,ok
1025,1100,true,0,6,2,257,21,0.081712062,block_krylov_maxvol,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,17.275754000,0.086282000,3.112341000,0.388644000,20.863021000,0.001750404,0.000927654,1.886914585,1.000000000,1764,2454,ok
1025,1100,true,0,7,2,257,12,0.046692607,matrix_norms,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.699199000,0.108866000,0.135415000,6.622851000,7.566331000,0.019049499,0.002204462,8.641337241,1.000000000,576,918,ok
1025,1100,true,0,7,2,257,12,0.046692607,matrix_norms,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.699199000,0.108866000,2.362376000,0.405594000,3.576035000,0.006156263,0.002204462,2.792637630,1.000000000,576,918,ok
1025,1100,true,0,7,2,257,12,0.046692607,block_krylov_maxvol,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,13.228170000,0.083848000,0.101421000,0.372943000,13.786382000,0.004554563,0.002204462,2.066065475,1.000000000,576,926,ok
1025,1100,true,0,7,2,257,12,0.046692607,block_krylov_maxvol,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,13.228170000,0.083848000,2.059786000,0.584763000,15.956567000,0.003454306,0.002204462,1.566961115,1.000000000,576,922,ok
1025,1100,true,0,8,2,257,42,0.163424125,matrix_norms,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.670996000,0.096963000,0.210086000,0.401677000,1.379722000,0.020332491,0.000321661,63.210889059,0.680262541,7056,9226,ok
1025,1100,true,0,8,2,257,42,0.163424125,matrix_norms,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.670996000,0.096963000,6.239809000,0.418860000,7.426628000,0.001107409,0.000321661,3.442781818,1.000000000,7056,9130,ok
