m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,selector,u_method,generation_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,status
4097,4150,false,0,6,2,1025,85,randomized_range,intersection_inverse,245.592310000,5.689718000,0.147390000,0.372128000,0.682910000,6.892146000,1.761570334,0.120530151,14.615184021,1.000000000,28900,ok
4097,4150,false,0,6,2,1025,85,randomized_range,svd_pseudoinverse,245.592310000,5.689718000,0.147390000,15.051530000,0.728701000,21.617339000,0.315225601,0.120530151,2.615325701,1.000000000,28900,ok
4097,4150,false,0,7,2,1025,51,matrix_norms,intersection_inverse,245.592310000,1.727658000,0.094437000,0.131304000,0.709822000,2.663221000,6.898815632,0.251202792,27.463132790,1.000000000,10404,ok
4097,4150,false,0,7,2,1025,51,matrix_norms,svd_pseudoinverse,245.592310000,1.727658000,0.094437000,8.434344000,0.701653000,10.958092000,0.551713347,0.251202792,2.196286686,1.000000000,10404,ok
4097,4150,false,0,7,2,1025,51,randomized_range,intersection_inverse,245.592310000,4.586251000,0.109995000,0.121977000,0.645309000,5.463532000,5.645418167,0.251202792,22.473548657,1.000000000,10404,ok
4097,4150,false,0,7,2,1025,51,randomized_range,svd_pseudoinverse,245.592310000,4.586251000,0.109995000,8.078156000,0.715434000,13.489836000,0.553431571,0.251202792,2.203126670,1.000000000,10404,ok
4097,4150,false,0,8,2,1025,170,matrix_norms,intersection_inverse,245.592310000,1.739626000,0.160176000,2.382536000,0.820205000,5.102543000,2.267045736,0.029823966,76.014226668,1.000000000,115600,ok
4097,4150,false,0,8,2,1025,170,matrix_norms,svd_pseudoinverse,245.592310000,1.739626000,0.160176000,34.323716000,0.887276000,37.110794000,0.095945142,0.029823966,3.217048369,1.000000000,115600,ok
4097,4150,false,0,8,2,1025,170,randomized_range,intersection_inverse,245.592310000,8.947257000,0.155294000,2.283263000,0.812979000,12.198793000,2.267045736,0.029823966,76.014226668,1.000000000,115600,ok
4097,4150,false,0,8,2,1025,170,randomized_range,svd_pseudoinverse,245.592310000,8.947257000,0.155294000,31.857790000,0.858700000,41.819041000,0.095945157,0.029823966,3.217048868,1.000000000,115600,ok
4097,4150,false,0,9,2,1025,102,matrix_norms,intersection_inverse,245.592310000,1.688357000,0.142182000,0.605146000,0.716829000,3.152514000,2.400238991,0.087755352,27.351482605,1.000000000,41616,ok
4097,4150,false,0,9,2,1025,102,matrix_norms,svd_pseudoinverse,245.592310000,1.688357000,0.142182000,18.427839000,0.754474000,21.012852000,0.238570884,0.087755352,2.718590693,1.000000000,41616,ok
4097,4150,false,0,9,2,1025,102,randomized_range,intersection_inverse,245.592310000,6.196629000,0.146761000,0.606498000,0.682578000,7.632466000,2.259313345,0.087755352,25.745590289,1.000000000,41616,ok
4097,4150,false,0,9,2,1025,102,randomized_range,svd_pseudoinverse,245.592310000,6.196629000,0.146761000,18.212734000,0.764838000,25.320962000,0.239312321,0.087755352,2.727039603,1.000000000,41616,ok
4097,4150,false,0,10,2,1025,341,matrix_norms,intersection_inverse,245.592310000,1.631886000,0.160407000,19.242130000,1.039345000,22.073768000,0.214922875,0.003861315,55.660534714,1.000000000,465124,ok
4097,4150,false,0,10,2,1025,341,matrix_norms,svd_pseudoinverse,245.592310000,1.631886000,0.160407000,92.624254000,1.342044000,95.758591000,0.014647220,0.003861315,3.793324053,1.000000000,465124,ok
4097,4150,false,0,10,2,1025,341,randomized_range,intersection_inverse,245.592310000,15.972641000,0.249906000,19.248422000,1.208059000,36.679028000,0.214922875,0.003861315,55.660534714,1.000000000,465124,ok
4097,4150,false,0,10,2,1025,341,randomized_range,svd_pseudoinverse,245.592310000,15.972641000,0.249906000,95.413366000,1.307425000,112.943338000,0.014647220,0.003861315,3.793324053,1.000000000,465124,ok
4097,4150,false,0,11,2,1025,204,matrix_norms,intersection_inverse,245.592310000,1.873296000,0.164730000,3.922770000,0.887012000,6.847808000,4.997112751,0.018753905,266.457188045,0.769354362,166464,ok
4097,4150,false,0,11,2,1025,204,matrix_norms,svd_pseudoinverse,245.592310000,1.873296000,0.164730000,48.520714000,1.046739000,51.605479000,0.061894689,0.018753905,3.300362738,1.000000000,166464,ok
4097,4150,false,0,11,2,1025,204,randomized_range,intersection_inverse,245.592310000,10.566954000,0.159562000,3.835692000,0.854707000,15.416915000,4.997112751,0.018753905,266.457188045,0.769354362,166464,ok
4097,4150,false,0,11,2,1025,204,randomized_range,svd_pseudoinverse,245.592310000,10.566954000,0.159562000,48.420571000,1.096823000,60.243910000,0.061894685,0.018753905,3.300362539,1.000000000,166464,ok
4097,4150,false,0,12,3,513,85,matrix_norms,intersection_inverse,245.592310000,1.697850000,0.120056000,0.383786000,0.722636000,2.924328000,0.751166284,0.021238355,35.368383535,1.000000000,28900,ok
4097,4150,false,0,12,3,513,85,matrix_norms,svd_pseudoinverse,245.592310000,1.697850000,0.120056000,15.882528000,0.734613000,18.435047000,0.066623040,0.021238355,3.136920899,1.000000000,28900,ok
