m,n,poly,seed,sub_idx,true_rank_stratum,target_ratio_stratum,sampled_true_rank_ratio,true_rank,sampled_target_rank_ratio,target_k,k_over_true_rank,selector,u_method,generation_gaussian_u_ms,generation_qr_u_ms,generation_gaussian_v_ms,generation_qr_v_ms,generation_basis_extract_scale_ms,generation_matrix_multiply_ms,generation_sub_instance_total_ms,generation_qr_plus_matrix_multiply_ms,generation_wall_ms,selection_ms,extraction_ms,u_ms,verification_ms,solver_total_ms,cur_fnorm,optimal_svd_fnorm,raw_error_ratio,score,u_bytes,serialized_solution_bytes,status
512,640,true,0,3,3,5,0.146216327,75,0.739562110,55,0.733333333,block_krylov_maxvol,qr_least_squares,1.444197000,27.246844000,1.240467000,1.991616000,0.053971000,0.057999000,0.225994000,34.398819000,45.936626000,31.331810000,0.093456000,1.128146000,0.410199000,32.963611000,0.002256698,0.000014292,157.900662946,0.354653356,12100,15418,ok
512,640,true,0,3,3,5,0.146216327,75,0.739562110,55,0.733333333,block_krylov_maxvol,svd_pseudoinverse,1.444197000,27.246844000,1.240467000,1.991616000,0.053971000,0.057999000,0.225994000,34.398819000,45.936626000,31.331810000,0.093456000,6.406707000,0.416811000,38.248784000,0.003364834,0.000014292,235.436616908,0.237855949,12100,15394,ok
512,640,true,0,4,4,2,0.163769945,84,0.361614008,30,0.357142857,matrix_norms,qr_least_squares,1.444197000,27.246844000,1.240467000,1.991616000,0.054743000,0.061124000,0.233949000,34.398819000,45.936626000,0.489910000,0.100599000,0.914966000,0.402564000,1.908039000,0.004401591,0.000055744,78.960238869,0.392602662,3600,4758,ok
512,640,true,0,4,4,2,0.163769945,84,0.361614008,30,0.357142857,matrix_norms,svd_pseudoinverse,1.444197000,27.246844000,1.240467000,1.991616000,0.054743000,0.061124000,0.233949000,34.398819000,45.936626000,0.489910000,0.100599000,3.563785000,0.413916000,4.568210000,0.004244131,0.000055744,76.135550285,0.407168529,3600,4762,ok
512,640,true,0,4,4,2,0.163769945,84,0.361614008,30,0.357142857,block_krylov_maxvol,qr_least_squares,1.444197000,27.246844000,1.240467000,1.991616000,0.054743000,0.061124000,0.233949000,34.398819000,45.936626000,17.990115000,0.098315000,0.929433000,0.391646000,19.409509000,0.000782337,0.000055744,14.034365287,1.000000000,3600,4778,ok
512,640,true,0,4,4,2,0.163769945,84,0.361614008,30,0.357142857,block_krylov_maxvol,svd_pseudoinverse,1.444197000,27.246844000,1.240467000,1.991616000,0.054743000,0.061124000,0.233949000,34.398819000,45.936626000,17.990115000,0.098315000,3.549488000,0.393558000,22.031476000,0.000462372,0.000055744,8.294495090,1.000000000,3600,4774,ok
512,640,true,0,5,5,3,0.214140816,110,0.544466149,60,0.545454545,matrix_norms,qr_least_squares,1.444197000,27.246844000,1.240467000,1.991616000,0.051668000,0.053981000,0.238788000,34.398819000,45.936626000,0.664387000,0.125204000,1.357085000,0.450254000,2.596930000,0.010300035,0.000031589,326.066603340,0.187078343,14400,18350,ok
512,640,true,0,5,5,3,0.214140816,110,0.544466149,60,0.545454545,matrix_norms,svd_pseudoinverse,1.444197000,27.246844000,1.240467000,1.991616000,0.051668000,0.053981000,0.238788000,34.398819000,45.936626000,0.664387000,0.125204000,7.193694000,0.399850000,8.383135000,0.010667718,0.000031589,337.706298526,0.180630330,14400,18318,ok
512,640,true,0,5,5,3,0.214140816,110,0.544466149,60,0.545454545,block_krylov_maxvol,qr_least_squares,1.444197000,27.246844000,1.240467000,1.991616000,0.051668000,0.053981000,0.238788000,34.398819000,45.936626000,30.853864000,0.088647000,1.194470000,0.393529000,32.530510000,0.000734394,0.000031589,23.248603025,1.000000000,14400,18326,ok
512,640,true,0,5,5,3,0.214140816,110,0.544466149,60,0.545454545,block_krylov_maxvol,svd_pseudoinverse,1.444197000,27.246844000,1.240467000,1.991616000,0.051668000,0.053981000,0.238788000,34.398819000,45.936626000,30.853864000,0.088647000,7.477174000,0.394459000,38.814144000,0.000895589,0.000031589,28.351515274,1.000000000,14400,18302,ok
